Scenario,Kz (m2 d-1),kNAA (day-1),REG:NAA,ep15NAA (permil),ep15REG (permil),P_tot (mmol N m-2 day-1),REG (mmol N m-2 day-1),F_NO3 (mmol N m-2 day-1)
0,0,0.045,0,2.6,2,12.08781545,0,0
1,3.97,0.047,0,2.8,2,12.5731348,0,0.091187305
2,7.996,0.049,0,3,2,13.04664673,0,0.251218195
3,11.771,0.051,0,3.2,2,13.49557169,0,0.462753526
4,15.37,0.052,0,3.4,2,13.80085401,0,0.698854548
5,18.872,0.052,0,3.6,2,13.96616192,0,0.94151812
6,22.311,0.052,0,3.8,2,14.12048872,0,1.193210161
7,25.691,0.052,0,4,2,14.26556422,0,1.449008919
8,29.089,0.052,0,4.2,2,14.40570445,0,1.71131982
9,32.489,0.051,0,4.4,2,14.39577435,0,1.9473099
10,35.612,0.05,0,4.6,2,14.36237338,0,2.155796828
11,39.315,0.05,0,4.8,2,14.49419938,0,2.437675896
12,42.785,0.05,0,5,2,14.61399133,0,2.700460322
